respondent_id,respondent_name,report_year,plant_name,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
134,PacifiCorp,2009,Foote Creek,1999,32.62,31,86324,37196623,1140301,1630021,0,0,Wind,0
134,PacifiCorp,2009,Glenrock III,2009,39,38,84675,87151990,2234666,432263,0,21909,Wind,0
134,PacifiCorp,2009,Rolling Hills,2009,99,99,207820,200996518,2030268,1901925,0,55616,Wind,0
134,PacifiCorp,2009,Goodnoe Hills,2008,94,93,237374,179757749,1912316,1913858,0,57490,Wind,0
134,PacifiCorp,2009,Leaning Juniper 1,2006,100.5,100,258767,174191781,1733252,2677232,0,63356,Wind,0
134,PacifiCorp,2009,Marengo,2007,140.4,138,316552,236868467,1687097,4826041,0,87866,Wind,0
134,PacifiCorp,2009,Marengo II,2008,70.2,69,158279,127879828,1821650,2039396,0,43933,Wind,0
134,PacifiCorp,2009,Glenrock,2008,99,99,253875,199803708,2018219,1313119,0,92496,Wind,0
134,PacifiCorp,2009,Seven Mile Hill,2008,99,99,303510,198738782,2007462,1339535,0,118755,Wind,0
134,PacifiCorp,2009,Seven Mile Hill II,2008,19.5,19,62229,41775232,2142320,274818,0,23991,Wind,0
134,PacifiCorp,2009,High Plains,2009,99,98,72695,219244704,2214593,186553,0,675439,Wind,0
134,PacifiCorp,2009,McFadden Ridge I,2009,28.5,27,20558,56762967,1991683,49753,0,191033,Wind,0
210,MidAmerican Energy Company,2010,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,175.5,62.2,480240060,184711015,1052484,859659,0,2807208,,0
210,MidAmerican Energy Company,2010,Century Wind Farm (110 units @ 1.5 MW each &,2005,200,63,496773430,224844916,1124225,957047,0,3018378,,0
210,MidAmerican Energy Company,2010,Victory Wind Farm (66 units @1.5 MW each),2006,99,53.3,318773810,173091907,1748403,492345,0,1689123,,0
210,MidAmerican Energy Company,2010,State Fair Wind Turbine (1 unit @ .5 MW each),2007,0.5,0,131205,925751,1851502,4369,0,0,,0
210,MidAmerican Energy Company,2010,Pomeroy Wind Farm (171 units @ 1.5 MW each),2007,256.5,140.9,748811012,484411450,1888544,922560,0,3573043,,0
210,MidAmerican Energy Company,2010,Charles City Wind Farm (50 units @ 1.5 MW each),2008,75,69.9,216609800,141327515,1884367,308754,0,1102206,,0
210,MidAmerican Energy Company,2010,Adair Wind Farm (76 units @ 2.3 MW each),2008,174.8,57.4,497375190,350791637,2006817,684091,0,2751334,,0
210,MidAmerican Energy Company,2010,Carroll Wind Farm (100 units @ 1.5 MW each),2008,150,81.5,430993770,300064314,2000429,647893,0,1644098,,0
210,MidAmerican Energy Company,2010,Walnut Wind Farm (102 units @ 1.5 MW each),2008,153,53.4,457917900,343117920,2242601,590270,0,1803135,,0
157,Sierra Pacific Power Company d/b/a NV Energy,2010,SIERRA PLAZA WIND,2007,0.1,0,1,107617,1076170,0,0,0,WIND,0
