year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
total_transmission_composite,,,,,,,,,,,,,,,,,,,,,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal,partptctotal
total_transmission_other,,,,,,,,,,,,,,,,,,,,,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal,partptototal
total_transmission_total,,,,,,,,,,,,,,,,,,,,,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal,partpttotal
onshore_type_a_gathering_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb,partpgontacpb
onshore_type_a_gathering_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc,partpgontacpc
onshore_type_a_gathering_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub,partpgontacub
onshore_type_a_gathering_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc,partpgontacuc
onshore_type_a_gathering_cast_iron,,,,,,,,,,,,,,,,,,,,,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci,partpgontaci
onshore_type_a_gathering_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi,partpgontawi
onshore_type_a_gathering_plastic,,,,,,,,,,,,,,,,,,,,,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap,partpgontap
onshore_type_a_gathering_composite,,,,,,,,,,,,,,,,,,,,,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac,partpgontac
onshore_type_a_gathering_other,,,,,,,,,,,,,,,,,,,,,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao,partpgontao
onshore_type_a_gathering_total,,,,,,,,,,,,,,,,,,,,,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal,partpgonatotal
onshore_type_b_gathering_steel_cathodically_protected_bare,,,,,,,,,,,,,,,,,,,,,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb,partpgontbcpb
onshore_type_b_gathering_steel_cathodically_protected_coated,,,,,,,,,,,,,,,,,,,,,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc,partpgontbcpc
onshore_type_b_gathering_steel_cathodically_unprotected_bare,,,,,,,,,,,,,,,,,,,,,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub,partpgontbcub
onshore_type_b_gathering_steel_cathodically_unprotected_coated,,,,,,,,,,,,,,,,,,,,,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc,partpgontbcuc
onshore_type_b_gathering_cast_iron,,,,,,,,,,,,,,,,,,,,,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci,partpgontbci
onshore_type_b_gathering_wrought_iron,,,,,,,,,,,,,,,,,,,,,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi,partpgontbwi
