year_index,1970,1980,1982,1984,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
services_copper,,,,unnamed_23,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,b1s_8,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu,num_srvs_cu
services_other,,,,unnamed_24,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,b1s_9,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other,num_srvs_other
services_other_alt,,,,unnamed_25,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,b1s_10,,,,,,,,,,,,,,,
services_reconditioned_cast_iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci,num_srvs_rci
services_total,no_of_services,no_of_services,b1s8,total_1,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,b1st,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total,num_srvcs_total
main_steel_unknown_miles,,,,,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,stm_1,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk,mmiles_steel_unk
main_steel_1_in_or_less_miles,1_or_less,1_or_less,g1_1,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_1_to_2_in_miles,over_1_thru_2,over_1_thru_2,g1_2,2_or_less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_2_in_or_less_miles,,,,,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,stm_2,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in,mmiles_steel_lt2in
main_steel_2_to_4_in_miles,over_2_thru_4,over_2_thru_4,g1_3,over_2_thru_4,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,stm_3,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in,mmiles_steel_2in_to_4in
main_steel_4_to_6_in_miles,over_4_thru_6,over_4_thru_6,g1_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A
main_steel_4_to_8_in_miles,,,,over_4_thru_8_n0,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,stm_4,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in,mmiles_steel_4in_to_8in
