year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
data_date,,,,,,,,,,,,,,,,,,,,,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of,datafile_as_of
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
operator_id_phmsa,,,,,,,,,,,,,,,,,,,,,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
report_number,,,,,,,,,,,,,,,,,,,,,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
report_year,,,,,,,,,,,,,,,,,,,,,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_state,,,,,,,,,,,,,,,,,,,,,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
supplemental_report_number,,,,,,,,,,,,,,,,,,,,,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
total_total_pipe_ smys_total_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot,partkc1tot
total_total_pipe_smys_total_class_2_miles,,,,,,,,,,,,,,,,,,,,,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot,partkc2tot
total_total_pipe_smys_total_class_3_miles,,,,,,,,,,,,,,,,,,,,,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot,partkc3tot
total_total_pipe_smys_total_class_4_miles,,,,,,,,,,,,,,,,,,,,,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot,partkc4tot
onshore_nonsteel_pipe_smys_total_class_1_miles,,,,,,,,,,,,,,,,,,,,,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1,partknonsteelc1
onshore_nonsteel_pipe_smys_total_class_2_miles,,,,,,,,,,,,,,,,,,,,,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2,partknonsteelc2
onshore_nonsteel_pipe_smys_total_class_3_miles,,,,,,,,,,,,,,,,,,,,,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3,partknonsteelc3
onshore_nonsteel_pipe_smys_total_class_4_miles,,,,,,,,,,,,,,,,,,,,,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4,partknonsteelc4
onshore_nonsteel_pipe_smys_total_class_total_miles,,,,,,,,,,,,,,,,,,,,,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot,partknonsteeltot
offshore_steel_pipe_smys_51_to_72_class_1_miles,,,,,,,,,,,,,,,,,,,,,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172,partkoff5172
