year_index,1970-1979,1980-1981,1982-1983,1984-1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
miles_onshore_a_gathering_pipe_nps_38,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38,PARTIONA38
miles_onshore_a_gathering_pipe_nps_40,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40,PARTIONA40
miles_onshore_a_gathering_pipe_nps_42,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42,PARTIONA42
miles_onshore_a_gathering_pipe_nps_44,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44,PARTIONA44
miles_onshore_a_gathering_pipe_nps_46,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46,PARTIONA46
miles_onshore_a_gathering_pipe_nps_48,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48,PARTIONA48
miles_onshore_a_gathering_pipe_nps_50,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50,PARTIONA50
miles_onshore_a_gathering_pipe_nps_52,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52,PARTIONA52
miles_onshore_a_gathering_pipe_nps_54,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54,PARTIONA54
miles_onshore_a_gathering_pipe_nps_56,,,,,,,,,,,,,,,,,,,,,,,,,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56,PARTIONA56
