year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_transmission_internal_corrosion_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca,partmtcicoffnhca
repaired_failures_transmission_internal_corrosion,,,,,,,,,,,,,,,,,,,,,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca,partmtcicfhca
repaired_leaks_gathering_internal_corrosion_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona,partmgcicona
repaired_leaks_gathering_internal_corrosion_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb,partmgciconb
repaired_leaks_gathering_internal_corrosion_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgciconc,partmgciconc,partmgciconc,partmgciconc
repaired_leaks_gathering_internal_corrosion_offshore_total,,,,,,,,,,,,,,,,,,,,,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff,partmgcicoff
repaired_leaks_transmission_stress_corrosion_cracking_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca,partmtcsconhca
repaired_leaks_transmission_stress_corrosion_cracking_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcasc,partmtlfmcasc,partmtlfmcasc,partmtlfmcasc
repaired_leaks_transmission_stress_corrosion_cracking_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,partmtcsconnhca,,,,
repaired_leaks_transmission_stress_corrosion_cracking_onshore_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_transmission_stress_corrosion_cracking_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34sc,partmtlfcl34sc,partmtlfcl34sc,partmtlfcl34sc
repaired_leaks_transmission_stress_corrosion_cracking_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12sc,partmtlfcl12sc,partmtlfcl12sc,partmtlfcl12sc
repaired_leaks_transmission_stress_corrosion_cracking_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca,partmtcscoffhca
repaired_leaks_transmission_stress_corrosion_cracking_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca,partmtcscoffnhca
repaired_leaks_transmission_stress_corrosion_cracking_offshore_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repaired_failures_transmission_stress_corrosion_cracking,,,,,,,,,,,,,,,,,,,,,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca,partmtcscfhca
repaired_leaks_gathering_stress_corrosion_cracking_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona,partmgcscona
repaired_leaks_gathering_stress_corrosion_cracking_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb,partmgcsconb
repaired_leaks_gathering_stress_corrosion_cracking_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcsconc,partmgcsconc,partmgcsconc,partmgcsconc
repaired_leaks_gathering_stress_corrosion_cracking_onshore_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_gathering_stress_corrosion_cracking_offshore_total,,,,,,,,,,,,,,,,,,,,,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff,partmgcscoff
repaired_leaks_transmission_manufacturing_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca,partmtcmonhca
repaired_leaks_transmission_manufacturing_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcama,partmtlfmcama,partmtlfmcama,partmtlfmcama
repaired_leaks_transmission_manufacturing_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,partmtcmonnhca,,,,
repaired_leaks_transmission_manufacturing_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34ma,partmtlfcl34ma,partmtlfcl34ma,partmtlfcl34ma
repaired_leaks_transmission_manufacturing_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12ma,partmtlfcl12ma,partmtlfcl12ma,partmtlfcl12ma
repaired_leaks_transmission_manufacturing_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca
repaired_leaks_transmission_manufacturing_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca
repaired_failures_transmission_manufacturing,,,,,,,,,,,,,,,,,,,,,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca
repaired_leaks_gathering_manufacturing_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona
repaired_leaks_gathering_manufacturing_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb
repaired_leaks_gathering_manufacturing_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcmonc,partmgcmonc,partmgcmonc,partmgcmonc
