year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
repaired_leaks_gathering_other_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcoona,partmgcooona,partmgcooona,partmgcooona,partmgcooona
repaired_leaks_gathering_other_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcoonb,partmgcooonb,partmgcooonb,partmgcooonb,partmgcooonb
repaired_leaks_gathering_other_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcooonc,partmgcooonc,partmgcooonc,partmgcooonc
repaired_leaks_gathering_other_onshore_total,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,cgo1,,,,,,,,,,,,,,,
repaired_leaks_gathering_other_offshore_total,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,cgo2,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcooff,partmgcoooff,partmgcoooff,partmgcoooff,partmgcoooff
repaired_leaks_transmission_total_onshore_hca,,,,,,,,,,,,,,,,,,,,,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partm1tonhcatotal,partmtonhcatot,partmtonhcatot,partmtonhcatot,partmtonhcatot
repaired_leaks_transmission_total_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtfmcatot,partmtfmcatot,partmtfmcatot,partmtfmcatot
repaired_leaks_transmission_total_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,partm1tonnhcatotal,,,,
repaired_leaks_transmission_total_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtfclass34tot,partmtfclass34tot,partmtfclass34tot,partmtfclass34tot
repaired_leaks_transmission_total_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtfclass12tot,partmtfclass12tot,partmtfclass12tot,partmtfclass12tot
repaired_leaks_transmission_total_offshore_hca,,,,,,,,,,,,,,,,,,,,,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partm1toffhcatotal,partmtoffhcatot,partmtoffhcatot,partmtoffhcatot,partmtoffhcatot
repaired_leaks_transmission_total_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partm1toffnhcatotal,partmtfhcatot,partmtfhcatot,partmtfhcatot,partmtfhcatot
repaired_failures_transmission_total,,,,,,,,,,,,,,,,,,,,,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partm1tfhcatotal,partmtoffnhcatot,partmtoffnhcatot,partmtoffnhcatot,partmtoffnhcatot
repaired_leaks_gathering_total_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partm1gonatotal,partmgonatot,partmgonatot,partmgonatot,partmgonatot
repaired_leaks_gathering_total_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partm1gonbtotal,partmgonbtot,partmgonbtot,partmgonbtot,partmgonbtot
repaired_leaks_gathering_total_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgonctot,partmgonctot,partmgonctot,partmgonctot
repaired_leaks_gathering_total_offshore_total,,,,,,,,,,,,,,,,,,,,,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partm1gofftotal,partmgofftot,partmgofftot,partmgofftot,partmgofftot
repaired_leaks_transmission_materials_welds_onshore_total,,,,,,,,,,,,ctmw1,ctmw1,ctmw1,ctmw1,ctmw1,ctmw1,ctmw1,ctmw1,ctmw1,,,,,,,,,,,,,,,
repaired_leaks_transmission_materials_welds_offshore_total,,,,,,,,,,,,ctmw2,ctmw2,ctmw2,ctmw2,ctmw2,ctmw2,ctmw2,ctmw2,ctmw2,,,,,,,,,,,,,,,
repaired_leaks_gathering_materials_welds_onshore_total,,,,,,,,,,,,cgmw1,cgmw1,cgmw1,cgmw1,cgmw1,cgmw1,cgmw1,cgmw1,cgmw1,,,,,,,,,,,,,,,
repaired_leaks_gathering_materials_welds_offshore_total,,,,,,,,,,,,cgmw2,cgmw2,cgmw2,cgmw2,cgmw2,cgmw2,cgmw2,cgmw2,cgmw2,,,,,,,,,,,,,,,
known_leaks_transmission_total_total,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,knlkt,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partm2tlsr,partmtlsfr,partmtlsfr,partmtlsfr,partmtlsfr
known_leaks_gathering_total_total,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,knlkg,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partm2glsr,partmglcfr,partmglcfr,partmglcfr,partmglcfr
repaired_or_known_leaks_transmission_any_onshore_federal,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,dton,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partm3tlsron,partmtlsron,partmtlsron,partmtlsron,partmtlsron
repaired_or_known_leaks_transmission_any_offshore_federal,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,dtoff,,,,,,,,,,,,,,,
repaired_or_known_leaks_transmission_any_ocs_federal,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,dtout,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partm3tlsrocs,partmtlsrocs,partmtlsrocs,partmtlsrocs,partmtlsrocs
repaired_or_known_leaks_gathering_any_onshore_federal_type_a,,,,,,,,,,,,,,,,,,,,,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partm3gclsrona,partmgcglsrona,partmgcglsrona,partmgcglsrona,partmgcglsrona
repaired_or_known_leaks_gathering_any_onshore_federal_type_b,,,,,,,,,,,,,,,,,,,,,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partm3gclsronb,partmgcglsronb,partmgcglsronb,partmgcglsronb,partmgcglsronb
repaired_or_known_leaks_gathering_any_onshore_federal_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcglsronc,partmgcglsronc,partmgcglsronc,partmgcglsronc
repaired_or_known_leaks_gathering_any_onshore_federal,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,dgon,,,,,,,,,,,,,,,
repaired_or_known_leaks_gathering_any_offshore_federal,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,dgoff,,,,,,,,,,,,,,,
repaired_or_known_leaks_gathering_any_ocs_federal,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,dgout,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partm3gcglsrocs,partmgcglsrocs,partmgcglsrocs,partmgcglsrocs,partmgcglsrocs
repaired_or_known_leaks_transmission_any_total_total,,,,,,,,,,,,,,,,,,,,,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partm3gclsrtotal,partmtlsrtotal,partmtlsrtotal,partmtlsrtotal,partmtlsrtotal
repaired_or_known_leaks_gathering_any_total_total,,,,,,,,,,,,,,,,,,,,,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partm3tlsrtotal,partmgcglsrtotal,partmgcglsrtotal,partmgcglsrtotal,partmgcglsrtotal
repaired_or_known_leaks_total_any_total_total,,,,,,,,,,,,,,,,,,,,,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partm3total,partmm3total,partmm3total,partmm3total,partmm3total
excavation_damage_transmission_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4totdamages
excavation_damage_transmission_notification_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notiftotal
excavation_damage_transmission_notification_no_one_call_made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notifnocall
excavation_damage_transmission_notification_outside_ticket_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notifoutarea
excavation_damage_transmission_notification_prior_to_valid_start_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notifpriorstart
excavation_damage_transmission_notification_dug_after_expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notifafterexp
excavation_damage_transmission_notification_incorrect_information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4notifincinfo
excavation_damage_transmission_locating_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4loctotal
excavation_damage_transmission_locating_not_marked_abandoned_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locabandon
excavation_damage_transmission_locating_not_marked_incorrect_records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locincormap
excavation_damage_transmission_locating_not_marked_locator_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4loclocerror
excavation_damage_transmission_locating_not_marked_no_response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locnoresp
excavation_damage_transmission_locating_not_marked_incomplete_marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locincomp
excavation_damage_transmission_locating_not_marked_tracer_wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4loctracewire
excavation_damage_transmission_locating_not_marked_unlocatable_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locunlocat
excavation_damage_transmission_locating_inaccurate_mark_abandoned_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locabanmark
excavation_damage_transmission_locating_inaccurate_mark_incorrect_records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4locmapmark
excavation_damage_transmission_locating_inaccurate_mark_locator_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4loclocmark
excavation_damage_transmission_locating_inaccurate_mark_tracer_wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4loctracemark
excavation_damage_transmission_excavation_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavtotal
excavation_damage_transmission_excavation_prior_to_test_hole_verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavtesthole
excavation_damage_transmission_excavation_failed_clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavclearance
excavation_damage_transmission_excavation_failed_to_protect_facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavprotshore
excavation_damage_transmission_excavation_improper_backfilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavbackfill
excavation_damage_transmission_excavation_marks_faded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4markfade
excavation_damage_transmission_excavation_other_issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4excavnotlisted
excavation_damage_transmission_other_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4misctotal
excavation_damage_transmission_other_deteriorated_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4miscdeter
excavation_damage_transmission_other_one_call_center_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4misconecall
excavation_damage_transmission_other_previous_damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4miscprevdamage
excavation_damage_transmission_root_cause_not_listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4miscrootcause
excavation_damage_transmission_tickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm4tottickets
excavation_damage_gathering_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5totdamages
excavation_damage_gathering_notification_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notiftotal
excavation_damage_gathering_notification_no_one_call_made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notifnocall
excavation_damage_gathering_notification_outside_ticket_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notifoutarea
excavation_damage_gathering_notification_prior_to_valid_start_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notifpriorstart
excavation_damage_gathering_notification_dug_after_expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notifafterexp
excavation_damage_gathering_notification_incorrect_information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5notifincinfo
excavation_damage_gathering_locating_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5loctotal
excavation_damage_gathering_locating_not_marked_abandoned_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locabandon
excavation_damage_gathering_locating_not_marked_incorrect_records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locincormap
excavation_damage_gathering_locating_not_marked_locator_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5loclocerror
excavation_damage_gathering_locating_not_marked_no_response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locnoresp
excavation_damage_gathering_locating_not_marked_incomplete_marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locincomp
excavation_damage_gathering_locating_not_marked_tracer_wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5loctracewire
excavation_damage_gathering_locating_not_marked_unlocatable_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locunlocat
excavation_damage_gathering_locating_inaccurate_mark_abandoned_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locabanmark
excavation_damage_gathering_locating_inaccurate_mark_incorrect_records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5locmapmark
excavation_damage_gathering_locating_inaccurate_mark_locator_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5loclocmark
excavation_damage_gathering_locating_inaccurate_mark_tracer_wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5loctracemark
excavation_damage_gathering_excavation_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavtotal
excavation_damage_gathering_excavation_prior_to_test_hole_verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavtesthole
excavation_damage_gathering_excavation_failed_clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavclearance
excavation_damage_gathering_excavation_failed_to_protect_facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavprotshore
excavation_damage_gathering_excavation_improper_backfilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavbackfill
excavation_damage_gathering_excavation_marks_faded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5markfade
excavation_damage_gathering_excavation_other_issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5excavnotlisted
excavation_damage_gathering_other_issues_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5misctotal
excavation_damage_gathering_other_deteriorated_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5miscdeter
excavation_damage_gathering_other_one_call_center_error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5misconecall
excavation_damage_gathering_other_previous_damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5miscprevdamage
excavation_damage_gathering_root_cause_not_listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5miscrootcause
excavation_damage_gathering_tickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partm5tottickets
