report_year,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,yr,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year,report_year
report_number,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,rptid,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number,report_number
supplemental_report_number,,,,,,,,,,,,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,tr_sup_id,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number,supplemental_number
operator_id_phmsa,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,opid,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id,operator_id
operator_name_phmsa,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp,parta2nameofcomp
commodity_group,,,,,,,,,,,,,,,,,,,,,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity,parta5commodity
interstate_or_intrastate,,,,,,,,,,,,,,,,,,,,,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra,inter_intra
report_state,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,stop,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name,state_name
miles_onshore_type_b_gathering_pipe_nps_52,,,,,,,,,,,,,,,,,,,,,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52,partionb52
miles_onshore_type_b_gathering_pipe_nps_56,,,,,,,,,,,,,,,,,,,,,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56,partionb56
miles_onshore_type_b_gathering_pipe_nps_58_and_over,,,,,,,,,,,,,,,,,,,,,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over,partionb58over
miles_onshore_type_b_gathering_pipe_other_size,,,,,,,,,,,,,,,,,,,,,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional,partionbadditional
miles_onshore_type_b_gathering_pipe_other_size_total,,,,,,,,,,,,,,,,,,,,,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total,partionb_other_pipe_mile_total
miles_onshore_type_b_gathering_pipe_other_size_detail,,,,,,,,,,,,,,,,,,,,,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail,partionb_other_pipe_detail
miles_onshore_type_b_gathering_pipe_total,,,,,,,,,,,,,,,,,,,,,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal,partionbtotal
miles_onshore_type_c_gathering_pipe_nps_8,,,,,,,,,,,,,,,,,,,,,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8,partionc8
miles_onshore_type_c_gathering_pipe_nps_10,,,,,,,,,,,,,,,,,,,,,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10,partionc10
miles_onshore_type_c_gathering_pipe_nps_12,,,,,,,,,,,,,,,,,,,,,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12,partionc12
miles_onshore_type_c_gathering_pipe_nps_14,,,,,,,,,,,,,,,,,,,,,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14,partionc14
miles_onshore_type_c_gathering_pipe_nps_16,,,,,,,,,,,,,,,,,,,,,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16,partionc16
miles_onshore_type_c_gathering_pipe_nps_18,,,,,,,,,,,,,,,,,,,,,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18,partionc18
miles_onshore_type_c_gathering_pipe_nps_20,,,,,,,,,,,,,,,,,,,,,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20,partionc20
miles_onshore_type_c_gathering_pipe_nps_22,,,,,,,,,,,,,,,,,,,,,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22,partionc22
miles_onshore_type_c_gathering_pipe_nps_24,,,,,,,,,,,,,,,,,,,,,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24,partionc24
miles_onshore_type_c_gathering_pipe_nps_26,,,,,,,,,,,,,,,,,,,,,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26,partionc26
miles_onshore_type_c_gathering_pipe_nps_28,,,,,,,,,,,,,,,,,,,,,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28,partionc28
miles_onshore_type_c_gathering_pipe_nps_30,,,,,,,,,,,,,,,,,,,,,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30,partionc30
miles_onshore_type_c_gathering_pipe_nps_32,,,,,,,,,,,,,,,,,,,,,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32,partionc32
miles_onshore_type_c_gathering_pipe_nps_34,,,,,,,,,,,,,,,,,,,,,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34,partionc34
miles_onshore_type_c_gathering_pipe_nps_36,,,,,,,,,,,,,,,,,,,,,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36,partionc36
miles_onshore_type_c_gathering_pipe_nps_38,,,,,,,,,,,,,,,,,,,,,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38,partionc38
miles_onshore_type_c_gathering_pipe_nps_40,,,,,,,,,,,,,,,,,,,,,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40,partionc40
miles_onshore_type_c_gathering_pipe_nps_42,,,,,,,,,,,,,,,,,,,,,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42,partionc42
