plant_id_epa,emissions_unit_id_epa,plant_id_eia,max_gross_load_mw,min_stable_level,min_up_time_hr,min_down_time_hr,heat_rate_at_max_load_factor_mmbtu_per_mwh,heat_rate_at_min_stable_level_mmbtu_per_mwh,ramp_up_rate_fraction_of_max_gross_load_per_min,ramp_down_rate_fraction_of_max_gross_load_per_min,load_factor_bins
377,4,377,36.0,0.4,18.0,1.0,12.47,13.99,0.0,0.0,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.3, 0.4], (0.4, 0.5], ..., (0.8, 0.9], (0.9, 1.0], (0.5, 0.6], (0.6, 0.7], (0.7, 0.8]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
358,4-2,358,289.0,0.3,1.0,1.0,6.87,8.2,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.3, 0.4], (0.7, 0.8], (0.9, 1.0], ..., (0.2, 0.3], (0.4, 0.5], (0.6, 0.7], (0.5, 0.6], (0.1, 0.2]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
358,3-2,358,292.0,0.3,1.0,1.0,6.94,8.52,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.2, 0.3], (0.7, 0.8], (0.9, 1.0], ..., (0.6, 0.7], (0.4, 0.5], (0.3, 0.4], (0.5, 0.6], (0.1, 0.2]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
358,4-1,358,289.0,0.3,1.0,1.0,6.89,8.42,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.3, 0.4], (0.6, 0.7], ..., (0.7, 0.8], (0.9, 1.0], (0.8, 0.9], (0.2, 0.3], (0.4, 0.5]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
358,3-1,358,286.0,0.3,2.0,1.0,6.89,8.49,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.3, 0.4], (0.9, 1.0], (0.6, 0.7], ..., (0.5, 0.6], (0.8, 0.9], (0.1, 0.2], (0.7, 0.8], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
356,8,356,465.0,0.2,2.0,22.0,10.07,12.06,0.0,-0.0,"[NaN, (-0.001, 0.1], (0.1, 0.2], (0.2, 0.3], (0.3, 0.4], ..., (0.5, 0.6], (0.8, 0.9], (0.9, 1.0], (0.7, 0.8], (0.6, 0.7]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
356,6,356,179.0,0.2,1.0,1.0,11.19,16.63,0.0,-0.0,"[(-0.001, 0.1], NaN, (0.7, 0.8], (0.3, 0.4], (0.1, 0.2], ..., (0.9, 1.0], (0.5, 0.6], (0.2, 0.3], (0.6, 0.7], (0.4, 0.5]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
377,9,377,48.0,0.5,1.0,1.0,9.47,10.79,0.01,-0.01,"[NaN, (-0.001, 0.1], (0.4, 0.5], (0.5, 0.6], (0.8, 0.9], ..., (0.1, 0.2], (0.3, 0.4], (0.7, 0.8], (0.6, 0.7], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
389,2-2,389,106.0,0.63,1.0,1.0,8.83,9.29,0.0,-0.0,"[NaN, (0.723, 0.815], (0.908, 1.0], (0.815, 0.908], (0.63, 0.723], ..., (0.26, 0.353], (0.168, 0.26], (0.445, 0.538], (0.538, 0.63], (0.353, 0.445]]
Length: 11
Categories (10, interval[float64, right]): [(0.0745, 0.168] < (0.168, 0.26] < (0.26, 0.353] < (0.353, 0.445] ... (0.63, 0.723] < (0.723, 0.815] < (0.815, 0.908] < (0.908, 1.0]]"
389,4,389,70.0,0.211,1.0,1.0,10.52,12.09,0.0,-0.0,"[(0.31, 0.409], (0.507, 0.606], (0.409, 0.507], NaN, (0.0133, 0.113], ..., (0.606, 0.704], (0.803, 0.901], (0.704, 0.803], (0.901, 1.0], (0.113, 0.211]]
Length: 11
Categories (10, interval[float64, right]): [(0.0133, 0.113] < (0.113, 0.211] < (0.211, 0.31] < (0.31, 0.409] ... (0.606, 0.704] < (0.704, 0.803] < (0.803, 0.901] < (0.901, 1.0]]"
