year_index,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
commercial_total_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,65,65,60,60,60,60,81,82,82,83,82
industrial_total_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,66,66,61,61,61,61,82,83,83,84,83
transportation_total_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,67,67,62,62,62,62,83,84,84,85,84
total_total_sold_to_utility_mwh,-1,-1,-1,-1,-1,-1,-1,-1,68,68,63,63,63,63,84,85,85,86,85
residential_total_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,69,69,49,49,49,49,70,71,71,72,71
commercial_total_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,70,70,50,50,50,50,71,72,72,73,72
industrial_total_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,71,71,51,51,51,51,72,73,73,74,73
transportation_total_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,72,72,52,52,52,52,73,74,74,75,74
total_total_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,73,73,53,53,53,53,74,75,75,76,75
residential_total_customers,4,4,4,4,4,4,4,4,74,74,54,54,54,54,75,76,76,77,76
commercial_total_customers,5,5,5,5,5,5,5,5,75,75,55,55,55,55,76,77,77,78,77
industrial_total_customers,6,6,6,6,6,6,6,6,76,76,56,56,56,56,77,78,78,79,78
transportation_total_customers,7,7,7,7,7,7,7,7,77,77,57,57,57,57,78,79,79,80,79
total_total_customers,8,8,8,8,8,8,8,8,78,78,58,58,58,58,79,80,80,81,80
pv_current_flow_type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,6,5
balancing_authority_code_eia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,4
residential_storage_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,16,17,16
commercial_storage_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,17,18,17
industrial_storage_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,18,18,19,18
transportation_storage_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,19,19,20,19
total_storage_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,20,20,21,20
residential_storage_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,22,21
commercial_storage_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,22,22,23,22
industrial_storage_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,23,23,24,23
transportation_storage_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,24,24,25,24
total_storage_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,25,26,25
residential_virtual_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,26,26,27,26
commercial_virtual_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,27,27,28,27
industrial_virtual_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,28,28,29,28
transportation_virtual_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,29,29,30,29
total_virtual_pv_capacity_mw,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,30,30,31,30
residential_virtual_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,31,31,32,31
commercial_virtual_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,32,32,33,32
industrial_virtual_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,33,33,34,33
transportation_virtual_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,34,34,35,34
total_virtual_pv_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,35,35,36,35
