year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
industrial_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,63,63
transportation_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,64,64
residential_load_management_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71,71
commercial_load_management_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,72,72
industrial_load_management_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,73,73
transportation_load_management_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,74,74
residential_annual_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,76,76
commercial_annual_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,77,77
industrial_annual_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,78,78
transportation_annual_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,79,79
residential_annual_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,81,81
commercial_annual_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,82,82
industrial_annual_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,83
transportation_annual_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,84,84
