,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
378,61810,chisum,,,TX,20.0
379,61811,titan solar,,,CO,100.0
380,61812,summit lake wind energy project,,,MI,240.0
381,61813,"ranchland solar, llc",,,NC,120.0
382,61814,kearsarge concord ii,,,MA,9.0
383,61815,kearsarge granby,,,MA,5.0
384,61816,ikea oak creek rooftop pv system,57389,ikea property inc,WI,2.7
385,61817,none,,,MN,10.0
386,61818,dg amp solar brewster,,,OH,3.8
387,61819,ikea conshohocken rooftop pv system,57389,ikea property inc,PA,2.0
388,61820,ikea new haven rooftop pv & fuel cell,57389,ikea property inc,CT,2.2
389,61821,ikea jacksonville rooftop pv system,57389,ikea property inc,FL,2.8
390,61822,"princeton energy center, llc",,,NJ,21.6
391,61823,harvest wind energy project,,,IN,1200.0
392,61824,none,,,CA,6.0
393,61825,dignity - siena campus,,,NV,2.8
394,61826,o'fallon renewable energy center,,,MO,9.0
395,61827,dayton cutoff solar,,,OR,4.4
396,61828,valley creek solar,,,OR,4.4
397,61829,silverton solar,,,OR,4.4
398,61830,sheep solar,,,OR,4.4
399,61831,colton solar,,,OR,4.4
400,61832,interstate solar,,,OR,4.4
401,61833,freedom solar,,,SC,10.0
402,61834,soboba community solar project,,,CA,2.0
403,61835,grand ronde solar,,,OR,4.4
404,61836,"minco wind iv, llc",,,OK,260.0
405,61837,"minco wind v, llc",,,OK,440.0
406,61838,cleveland thermal,,,OH,2.0
407,61839,fecc solar benton,,,AR,2.0
408,61840,"hope farm solar, llc",,,RI,20.0
409,61841,"scituate ri solar, llc",,,RI,20.0
410,61842,"sun farm vi, llc",60025,greenbacker renewable energy corporation,NC,10.0
411,61843,seaworld aquatica,,,CA,2.0
412,61844,brush solar center,,,OR,5.6
413,61845,bolthouse farms fuel cell,,,CA,10.0
414,61846,tulare wwtp biomat fuel cell,,,CA,5.6
415,61847,broadalbin,,,NY,4.0
416,61848,"pyco industries, inc. wind farm",,,TX,20.0
417,61849,danville,57081,"wgl energy systems, inc",VA,12.0
418,61850,amana society service company,,,IA,43.19999999999999
419,61851,campbell industrial park bess,19547,hawaiian electric co inc,HI,2.0
420,61852,eagle shadow mountain solar farm,,,NV,600.0
421,61853,jordanelle dam hydroelectric project,,,UT,26.0
422,61854,baker city solar,,,OR,30.0
423,61855,morgan solar center,,,OR,6.0
424,61856,vale solar center,,,OR,6.0
425,61857,toray plastic america's chp plant,,,RI,40.0
426,61858,"stillwater wind, llc",56545,pattern operators lp,MT,160.0
427,61859,crazy mountain wind llc,56545,pattern operators lp,MT,160.0
428,61860,ontario solar center,,,OR,6.0
429,61861,aes es gilbert,,,AZ,20.0
430,61862,dignity - san martin,,,NV,3.4
431,61863,duanesburg,,,NY,4.0
432,61864,"dix solar, l.l.c",,,NJ,26.0
433,61865,"rio bravo windpower, llc",,,TX,475.2
434,61866,wildhorse mountain wind facility,17650,southern power co,OK,200.0
435,61867,bovine,,,TX,20.0
436,61868,bronson,,,TX,20.0
437,61869,scenic hill solar iii,,,AR,10.0
438,61870,none,,,MN,10.0
439,61871,sterling solar (tx),,,TX,20.0
440,61872,lampwick,,,TX,15.0
441,61873,yellow jacket,,,TX,10.0
442,61874,eddy ii,,,TX,20.0
443,61875,cascade solar (tx),,,TX,20.0
444,61876,"persimmon creek wind farm 1, llc",,,OK,397.2
445,61877,"hanover solar, llc",,,NC,9.8
446,61878,john a logan college solar,,,IL,3.8
447,61879,bartow solar energy llc,,,FL,14.6
448,61881,morning view,,,NC,4.0
449,61882,copperfield,,,NC,4.0
450,61883,hopewell friends,,,NC,2.6
451,61884,kearney nppd solar project,,,NE,11.6
452,61885,staunton,,,IN,8.0
453,61886,bar d,,,CO,8.0
454,61887,fort bliss (dea epic),60146,ameresco federal solutions,TX,4.0
455,61888,johnstown,,,NY,4.0
456,61889,sholes wind energy center,,,NE,320.0
457,61890,nrg chalk point ct,,,MD,188.0
458,61891,"stryker 22, l.l.c.",,,NJ,39.6
459,61892,plumsted 537 llc,,,NJ,39.6
460,61893,bnb camden solar,,,NJ,7.4
461,61894,national raisin,,,CA,5.8
462,61895,toyota hq plan,,,TX,15.4
463,61898,solean solar project,59474,bq energy llc,NY,8.0
464,61899,lincoln ave solar project,,,NY,4.0
465,61900,blydenburgh solar project,,,NY,3.0
466,61901,redstone arsenal,,,AL,22.0
467,61902,holtsville solar project,,,NY,2.4
468,61903,sharon springs,,,NY,4.0
469,61904,amsterdam north,,,NY,4.0
470,61905,amsterdam south,,,NY,4.0
471,61906,phoebe solar,,,TX,500.0
472,61907,springfield solar project,56990,njr clean energy ventures corporation,NJ,15.0
473,61908,"stratford solar center, llc",,,VA,30.0
474,61909,parkview battery,4254,consumers energy co,MI,2.2
475,61910,yeoman creek,59474,bq energy llc,IL,17.6
476,61911,ivester wind farm,12341,midamerican energy co,IA,181.6
477,61912,mcginness hills 3,34691,ormat nevada inc,NV,135.8
478,61913,punkin center battery storage,803,arizona public service co,AZ,4.0
479,61914,susquehanna university solar,57081,"wgl energy systems, inc",PA,6.0
480,61915,bowie state solar,57081,"wgl energy systems, inc",MD,2.6
481,61916,pegasus wind,,,MI,287.9
482,61917,none,,,NY,2.8
483,61918,"blackville solar farm, llc",,,SC,14.4
484,61919,none,,,MN,10.0
485,61920,galloway solar farm,,,TX,720.0
486,61921,tahoka wind,,,TX,600.0
487,61922,sunlight beacon,59474,bq energy llc,NY,4.0
488,61923,viridity energy solutions acua,,,NJ,2.0
489,61924,"cumblerland land holdings, llc",,,AL,29.4
490,61925,casa mesa wind energy center,,,NM,103.8
