dbf_table,xbrl_table
f1_s0_checks,
f1_s0_filing_log,
f1_sale_for_resale,sales_for_resale_account_447_310
f1_sale_for_resale,sales_for_resale_account_447_total_310
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_440_residential_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_442_commercial_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_442_industrial_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_442_total_commercial_and_industrial_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_444_public_street_and_highway_lighting_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_445_other_sales_to_public_authorities_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_446_sales_to_railroads_and_railways_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_448_interdepartmental_sales_304
f1_sales_by_sched,sales_of_electricity_by_rate_schedules_account_totals_304
f1_sbsdry_detail,investments_in_subsidiary_companies_224
f1_sbsdry_totals,investments_in_subsidiary_companies_224
f1_sched_lit_tbl,
f1_schedules_list,list_of_schedules_002
f1_security,
f1_security_holder,
f1_slry_wg_dstrbtn,distribution_of_salaries_and_wages_354
f1_slry_wg_dstrbtn,distribution_of_salaries_and_wages_other_accounts_354
f1_steam,steam_electric_generating_plant_statistics_large_plants_402
f1_substations,substations_426
f1_substations,substations_total_426
f1_sys_error_log,
f1_taxacc_ppchrgyr,taxes_accrued_prepaid_and_charged_during_year_262
f1_taxacc_ppchrgyr,taxes_accrued_prepaid_and_charged_during_year_totals_262
f1_unique_num_val,
f1_unrcvrd_cost,unrecovered_plant_and_regulatory_study_costs_230b
f1_utltyplnt_smmry,summary_of_utility_plant_and_accumulated_provisions_for_depreciation_amortization_and_depletion_200
f1_work,construction_work_in_progress_electric_216
f1_work,construction_work_in_progress_electric_total_216
f1_xmssn_adds,transmission_lines_added_during_year_424
f1_xmssn_adds,transmission_lines_added_during_year_total_424
f1_xmssn_elc_bothr,transmission_of_electricity_by_others_332
f1_xmssn_elc_fothr,transmission_of_electricity_for_others_328
f1_xmssn_elc_fothr,transmission_of_electricity_for_others_totals_328
f1_xmssn_line,transmission_line_statistics_422
f1_xtraordnry_loss,extraordinary_property_losses_230a
,energy_storage_operations_large_plants_414
