table_name,xbrl_factoid,utility_type,plant_status,plant_function,rate_base_category
balance_sheet_liabilities_ferc1,accumulated_deferred_income_taxes_accelerated_amortization_property,,,,net_ADIT
balance_sheet_liabilities_ferc1,accumulated_deferred_income_taxes_other_property,,,,net_ADIT
balance_sheet_liabilities_ferc1,accumulated_deferred_income_taxes_other,,,,net_ADIT
balance_sheet_liabilities_ferc1,accumulated_deferred_income_taxes,,,,net_ADIT
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,hydraulic_production_pumped_storage,hydro
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,hydraulic_production_conventional,hydro
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,other_production,other_production
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,transmission,transmission
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,distribution,distribution
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,general,general_plant
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,regional_transmission_and_market_operation,regional_transmission_and_market_operation
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,steam_production,steam
electric_plant_depreciation_functional_ferc1,accumulated_depreciation,electric,in_service,nuclear_production,nuclear
