table,filename
f2_339_depr_gas_plant,F2_339_DEPR_GAS_PLANT.DBF
f2_340_partic_inc_int,F2_340_PARTIC_INC_INT.DBF
f2_350_reg_comm_expense,F2_350_REG_COMM_EXPENSE.DBF
f2_352_emp_benefits,F2_352_EMP_BENEFITS.DBF
f2_354_dist_wages,F2_354_DIST_WAGES.DBF
f2_357_chrgs_services,F2_357_CHRGS_SERVICES.DBF
f2_358_trans_affil,F2_358_TRANS_AFFIL.DBF
f2_508_comp_stations,F2_508_COMP_STATIONS.DBF
f2_512_gas_storage,F2_512_GAS_STORAGE.DBF
f2_513_gas_storage_cont,F2_513_GAS_STORAGE_CONT.DBF
f2_514_trans_lines,F2_514_TRANS_LINES.DBF
f2_518_trans_peak,F2_518_TRANS_PEAK.DBF
f2_519_aux_peak,F2_519_AUX_PEAK.DBF
f2_520_nat_gas,F2_520_NAT_GAS.DBF
f2_521_fwd_bck_haul,F2_521_FWD_BCK_HAUL.DBF
f2_521_month_1,F2_521_MONTH_1.DBF
f2_521_month_2,F2_521_MONTH_2.DBF
f2_521_month_3,F2_521_MONTH_3.DBF
f2_521_ship_supplied_gas,F2_521_SHIP_SUPPLIED_GAS.DBF
f2_522_sys_map_files,F2_522_SYS_MAP_FILES.DBF
f2_522_system_maps,F2_522_SYSTEM_MAPS.DBF
f2_admin,F2_ADMIN.DBF
f2_email,F2_EMAIL.DBF
f2_footnote_xref,F2_FOOTNOTE_XREF.DBF
f2_footnotes,F2_FOOTNOTES.DBF
f2_s0_calcs,F2_S0_CALCS.DBF
f2_s0_catchall,F2_S0_CATCHALL.DBF
f2_s0_checks,F2_S0_CHECKS.DBF
f2_s0_col_literals,F2_S0_COL_LITERALS.DBF
f2_s0_copy_forward,F2_S0_COPY_FORWARD.DBF
f2_s0_filing_log,F2_S0_FILING_LOG.DBF
f2_s0_locker,F2_S0_LOCKER.DBF
f2_s0_respondent_id,F2_S0_RESPONDENT_ID.DBF
f2_s0_row_changes,F2_S0_ROW_CHANGES.DBF
f2_s0_row_literals,F2_S0_ROW_LITERALS.DBF
f2_s0_sched_info,F2_S0_SCHED_INFO.DBF
f2_s0_state_abbrev,F2_S0_STATE_ABBREV.DBF
f2_s0_supp,F2_S0_SUPP.DBF
f2a_001_ident_attsttn,F2A_001_IDENT_ATTSTTN.DBF
f2a_002_list_schedules,F2A_002_LIST_SCHEDULES.DBF
f2a_211_gen_info_plant_op,F2A_211_GEN_INFO_PLANT_OP.DBF
f2a_250_capital_stock,F2A_250_CAPITAL_STOCK.DBF
f2a_250_long_term_debt,F2A_250_LONG_TERM_DEBT.DBF
