year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fuel_consumed_for_electricity_units_march,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_mar,elec_quantity_march,elec_quantity_mar,elec_quantity_march,elec_quantity_march,elec_quantity_march,elec_quantity_march,elec_quantity_march,elec_quantity_march,elec_quantity_march
fuel_consumed_for_electricity_units_april,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_apr,elec_quantity_april,elec_quantity_apr,elec_quantity_april,elec_quantity_april,elec_quantity_april,elec_quantity_april,elec_quantity_april,elec_quantity_april,elec_quantity_april
fuel_consumed_for_electricity_units_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may,elec_quantity_may
fuel_consumed_for_electricity_units_june,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_jun,elec_quantity_june,elec_quantity_jun,elec_quantity_june,elec_quantity_june,elec_quantity_june,elec_quantity_june,elec_quantity_june,elec_quantity_june,elec_quantity_june
fuel_consumed_for_electricity_units_july,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_jul,elec_quantity_july,elec_quantity_jul,elec_quantity_july,elec_quantity_july,elec_quantity_july,elec_quantity_july,elec_quantity_july,elec_quantity_july,elec_quantity_july
fuel_consumed_for_electricity_units_august,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_aug,elec_quantity_august,elec_quantity_aug,elec_quantity_august,elec_quantity_august,elec_quantity_august,elec_quantity_august,elec_quantity_august,elec_quantity_august,elec_quantity_august
fuel_consumed_for_electricity_units_september,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_sep,elec_quantity_september,elec_quantity_sep,elec_quantity_september,elec_quantity_september,elec_quantity_september,elec_quantity_september,elec_quantity_september,elec_quantity_september,elec_quantity_september
fuel_consumed_for_electricity_units_october,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_oct,elec_quantity_october,elec_quantity_oct,elec_quantity_october,elec_quantity_october,elec_quantity_october,elec_quantity_october,elec_quantity_october,elec_quantity_october,elec_quantity_october
fuel_consumed_for_electricity_units_november,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_nov,elec_quantity_november,elec_quantity_nov,elec_quantity_november,elec_quantity_november,elec_quantity_november,elec_quantity_november,elec_quantity_november,elec_quantity_november,elec_quantity_november
fuel_consumed_for_electricity_units_december,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_dec,elec_quantity_december,elec_quantity_dec,elec_quantity_december,elec_quantity_december,elec_quantity_december,elec_quantity_december,elec_quantity_december,elec_quantity_december,elec_quantity_december
fuel_mmbtu_per_unit_january,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtu_per_unit_jan,mmbtuper_unit_jan,mmbtuper_unit_january,mmbtuper_unit_jan,mmbtuper_unit_january,mmbtuper_unit_january,mmbtuper_unit_january,mmbtuper_unit_january,mmbtuper_unit_january,mmbtuper_unit_january,mmbtuper_unit_january
fuel_mmbtu_per_unit_february,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtu_per_unit_feb,mmbtuper_unit_feb,mmbtuper_unit_february,mmbtuper_unit_feb,mmbtuper_unit_february,mmbtuper_unit_february,mmbtuper_unit_february,mmbtuper_unit_february,mmbtuper_unit_february,mmbtuper_unit_february,mmbtuper_unit_february
fuel_mmbtu_per_unit_march,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtu_per_unit_mar,mmbtuper_unit_mar,mmbtuper_unit_march,mmbtuper_unit_mar,mmbtuper_unit_march,mmbtuper_unit_march,mmbtuper_unit_march,mmbtuper_unit_march,mmbtuper_unit_march,mmbtuper_unit_march,mmbtuper_unit_march
