respondent_id,respondent_name,plant_name
7,Arizona Public Service Company,Hydro Plants
7,Arizona Public Service Company,Childs (1)
7,Arizona Public Service Company,Irving (1)
7,Arizona Public Service Company,Solar Plants
7,Arizona Public Service Company,Flagstaff
7,Arizona Public Service Company,Star
7,Arizona Public Service Company,Tempe
7,Arizona Public Service Company,Glendale Airport
7,Arizona Public Service Company,Gilbert
7,Arizona Public Service Company,Scottsdale Covered Parking
7,Arizona Public Service Company,ST Microelectronics Rooftop
7,Arizona Public Service Company,Municpal Rooftops
7,Arizona Public Service Company,Yuma
7,Arizona Public Service Company,Prescott EARU
7,Arizona Public Service Company,Prescott Airport
7,Arizona Public Service Company,Total Solar Operation/Maintenance
7,Arizona Public Service Company,Childs-Irving
7,Arizona Public Service Company,Red Rock
7,Arizona Public Service Company,Phoenix
7,Arizona Public Service Company,Off-Grid Facilities
7,Arizona Public Service Company,Municipal Rooftops
7,Arizona Public Service Company,Prescott Earu
7,Arizona Public Service Company,Hyder Phase 1
7,Arizona Public Service Company,Cotton Center
7,Arizona Public Service Company,Paloma
7,Arizona Public Service Company,US Airways Center
7,Arizona Public Service Company,Chase Field
7,Arizona Public Service Company,Prescott
7,Arizona Public Service Company,Chino Valley
7,Arizona Public Service Company,APS Solar for Schools
7,Arizona Public Service Company,Hyder Phase 2
7,Arizona Public Service Company,Foothills 1 & 2
7,Arizona Public Service Company,Hyder Phase 1 & 2
7,Arizona Public Service Company,Hyder II
7,Arizona Public Service Company,DVN1
7,Arizona Public Service Company,Palo Verde Emergengy OPS Center
7,Arizona Public Service Company,Gila Bend Phase 1
7,Arizona Public Service Company,Gila Bend Phase 2
7,Arizona Public Service Company,Carol Spring
7,Arizona Public Service Company,Desert Star
7,Arizona Public Service Company,Luke AFB
8,"Entergy Arkansas, Inc.",Arkansas Nuclear One
8,"Entergy Arkansas, Inc.",Cecil Lynch
8,"Entergy Arkansas, Inc.",Lake Catherine
8,"Entergy Arkansas, Inc.",Robert Ritchie 3
8,"Entergy Arkansas, Inc.",Independence
8,"Entergy Arkansas, Inc.",Hamilton Moses
8,"Entergy Arkansas, Inc.",Harvey Couch
8,"Entergy Arkansas, Inc.",White Bluff
8,"Entergy Arkansas, Inc.",Mabelvale
8,"Entergy Arkansas, Inc.",Robert Ritchie 1
8,"Entergy Arkansas, Inc.",Hamiliton Moses
8,"Entergy Arkansas, Inc.",Robert Ritichie 3
8,"Entergy Arkansas, Inc.",Ouachita
8,"Entergy Arkansas, Inc.",Ouachita 1& 2
8,"Entergy Arkansas, Inc.",Hot Spring
8,"Entergy Arkansas, Inc.",Hot Springs
8,"Entergy Arkansas, Inc.",Ouachita 1 & 2
8,"Entergy Arkansas, Inc.",Cecil Lynch (Internal Combustion)
8,"Entergy Arkansas, Inc.",Cecil Lynch ( Internal Combustion)
8,"Entergy Arkansas, Inc.",Carpenter
8,"Entergy Arkansas, Inc.",Remmel
9,Atlantic City Electric Company,Keystone
9,Atlantic City Electric Company,Conemaugh
9,Atlantic City Electric Company,BL England
9,Atlantic City Electric Company,Miscellaneous
9,Atlantic City Electric Company,Keystone (2.47%)
9,Atlantic City Electric Company,Conemaugh (3.83%)
11,BANGOR HYDRO-ELECTRIC COMPANY,NONE
11,BANGOR HYDRO-ELECTRIC COMPANY,      INTERNAL COMBUSTION
11,BANGOR HYDRO-ELECTRIC COMPANY,Eastport
11,BANGOR HYDRO-ELECTRIC COMPANY,Medway
11,BANGOR HYDRO-ELECTRIC COMPANY,Bar Harbor
11,BANGOR HYDRO-ELECTRIC COMPANY,   Total
11,BANGOR HYDRO-ELECTRIC COMPANY,INTERNAL COMBUSTION
11,BANGOR HYDRO-ELECTRIC COMPANY,Total
12,"Black Hills Power, Inc.",Ben French Station
12,"Black Hills Power, Inc.",Osage
12,"Black Hills Power, Inc.",Neil Simpson Complex
12,"Black Hills Power, Inc.",Wyodak - BHP 20% She
12,"Black Hills Power, Inc.",Lange Facility
12,"Black Hills Power, Inc.",Neil Simpson Unit 1
12,"Black Hills Power, Inc.",Neil Simpson Unit 2
12,"Black Hills Power, Inc.",Wyodak -BHP 20% SHAR
12,"Black Hills Power, Inc.",Neil Simpson CT #1
12,"Black Hills Power, Inc.",Lange CT Facility
12,"Black Hills Power, Inc.",Wyodak-BHP 20% Share
12,"Black Hills Power, Inc.",Wygen III
12,"Black Hills Power, Inc.",Cheyenne Prairie 58%
12,"Black Hills Power, Inc.",Wygen III-BHP 52%
17,Carolina Power & Light Company,Cape Fear
17,Carolina Power & Light Company,W.H. Weatherspoon
17,Carolina Power & Light Company,H.F. Lee
17,Carolina Power & Light Company,L.V. Sutton
17,Carolina Power & Light Company,H.B. Robinson
17,Carolina Power & Light Company,Asheville
17,Carolina Power & Light Company,Roxboro
17,Carolina Power & Light Company,Mayo
17,Carolina Power & Light Company,Brunswick
17,Carolina Power & Light Company,Morehead
17,Carolina Power & Light Company,Blewett
17,Carolina Power & Light Company,Darlington
17,Carolina Power & Light Company,Harris
17,Carolina Power & Light Company,Wayne County
17,Carolina Power & Light Company,Richmond County
17,Carolina Power & Light Company,Smith Energy Complex
17,Carolina Power & Light Company,H. F. Lee
17,Carolina Power & Light Company,Wayne
17,Carolina Power & Light Company,W. H. Weatherspoon
17,Carolina Power & Light Company,Marshall Hydro
17,Carolina Power & Light Company,   FERC Licensed Project No. 2380
17,Carolina Power & Light Company,  FERC Licensed Project No. 2380
17,Carolina Power & Light Company,FERC Licensed Project No. 2380
17,Carolina Power & Light Company,Walters
17,Carolina Power & Light Company,Tillery
18,Catalyst Old River Hydroelectric Limited Partnership,S. Murray Hydro Stn
18,Catalyst Old River Hydroelectric Limited Partnership,Sidney A. Murray Jr
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,West Coxsackie
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,South Cairo
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,General
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,South Cairo -
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,West Coxsakie
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Coxsackie
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Neversink
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Sturgeon Pool
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Dashville
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,High Falls
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Groveville Mills
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Stugeon Pool
19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Neversink (Note #5)
20,Central Illinois Light Company,Sterling Avenue
20,Central Illinois Light Company,Hallock
20,Central Illinois Light Company,Kickapoo
20,Central Illinois Light Company,Indian Trails Cogeneration Plant
21,Central Illinois Public Service Company,None.
21,Central Illinois Public Service Company,Not applicable
22,Cleco Power LLC,TECHE
22,Cleco Power LLC,RODEMACHER UNIT 1
