report_year,respondent_id,record_number,plant_name,nice_plant_name,kind_of_plant,ferc_license,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
2004,40,2, Wisconsin Rapids,,hydro,,1920,9.11,8,45160,5662004,621515,534403,0,390448,,0
2004,40,3,Biron,,hydro,,1916,6.43,5.8,28681,5255351,817317,119956,0,272094,,0
2004,40,4,Stevens Point,,hydro,,1918,4.8,4.3,20789,3260207,679210,88768,0,431223,,0
2004,40,5,Whiting,,hydro,,1945,5.79,4.4,20496,3758245,649092,129255,0,363756,,0
2004,40,6,DuBay,,hydro,,1942,7.2,7.8,33751,3858282,535873,162114,0,236958,,0
2004,41,1,,,,,,,,,,,,,,,
2004,41,2,,,,,,,,,,,,,,,
2004,41,3,,,,,,,,,,,,,,,
2004,41,4,,,,,,,,,,,,,,,
2004,41,5,,,,,,,,,,,,,,,
2004,41,6,,,,,,,,,,,,,,,
2004,41,7,,,,,,,,,,,,,,,
2004,41,8,,,,,,,,,,,,,,,
2004,41,9,,,,,,,,,,,,,,,
2004,41,10,,,,,,,,,,,,,,,
2004,41,11,,,,,,,,,,,,,,,
2004,44,1,Steam Heating Plant,,,,,0,0,0,0,0,0,0,0,,0
2004,44,3,* Beacon,,steam_heat,,1927,19.1,0,0,0,0,0,0,0,Gas,0
2004,44,6,Internal Combustion,,,,,0,0,0,0,0,0,0,0,,0
2004,44,8,Peaking Units,,,,,0,0,0,0,0,0,0,0,,0
2004,44,10,* Connors Creek,,internal_combustion,,1971,5.5,5,-21,1093011,198729,251,5614,203,Oil,678
2004,44,11,*Harbor Beach,,internal_combustion,,1967,4,4,-45,555413,138853,300,8535,242,Oil,862
2004,44,12,*St. Clair,,internal_combustion,,1970,5.5,5,-654,721140,131116,33,40646,27,Oil,36951
2004,45,1,HYDRO PLANTS:,,,,,0,0,0,0,0,0,0,0,,0
2004,45,2,Bear Creek - Project 2698,Bear Creek,hydro,2698,1954,9,10,35330000,3169644,352183,8315,0,34882,,0
2004,45,3,Bryson - Project 2601,Bryson,hydro,2601,1925,1,1,1852000,291643,291643,8064,0,61068,,0
2004,45,4,Cedar Cliff - Project 2698,Cedar Cliff,hydro,2698,1952,6,7,25016000,2731633,455272,9769,0,35166,,0
2004,45,5,Dillsboro - Project 2602,Dillsboro,hydro,2602,1931,0,0.2,354000,76437,0,53555,0,15588,,0
2004,45,6,Franklin - Project 2603,Franklin,hydro,2603,1925,1,1,1130000,374622,374622,27240,0,67623,,0
2004,45,7,Gaston Shoals,,hydro,,1908,8.5,6,18342000,7760006,912942,219140,0,87838,,0
2004,45,8,Mission - Project 2619,Mission,hydro,2619,1924,2,2,4841000,1681573,840787,20577,0,29913,,0
2004,45,9,Queen's Creek - Project 2694,Queen's Creek,hydro,2694,1949,1,2,4407000,900326,900326,8967,0,13063,,0
2004,45,10,Tuckasegee - Project 2686,Tuckasegee,hydro,2686,1950,3,3,7411000,1139660,379887,56548,0,90408,,0
2004,45,11,Tuxedo,,hydro,,1920,5,9,24039000,7508816,1501763,182084,0,75891,,0
2004,48,1,INTERNAL COMBUSTION,,,,,0,0,0,0,0,0,0,0,,0
2004,48,4,Manistique,,internal_combustion,,1960,4.8,4.3,-72,584582,121788,33616,11560,16341,oil,0
2004,57,1,Hydro,,,,,0,0,0,0,0,0,0,0,,0
2004,57,2,Burton (A),Burton,hydro,2354,1927,6.1,1,22566000,10553032,1730005,117814,0,72502,,0
2004,57,3,Nacoochee (A),Nacoochee,hydro,2354,1926,4.8,6,14383000,4981223,1037755,93511,0,78434,,0
2004,57,4,Barnett Shoals (B),Barnett Shoals,hydro,,1910,2.8,3,7011000,841120,300400,110283,0,219845,,0
2004,57,5,Flint River (C),Flint River,hydro,1218,1921,5.4,7,30612000,6910429,129709,315415,0,282145,,0
2004,57,6,Estatoah,,hydro,,,0.2,0.2,2840000,75074,375370,17149,0,8352,,0
2004,57,7,Langdale (E),Langdale,hydro,2341,1907,1,1,792000,592334,592334,28395,0,155747,,0
2004,57,8,Riverview (F),Riverview,hydro,2350,1918,0.5,0.5,328000,437156,874312,22448,0,37859,,0
2004,57,35,(A) Licensed Project Number 2354.,,,,,0,0,0,0,0,0,0,0,,0
2004,57,36,(B) Leased from James White Estate.,,,,,0,0,0,0,0,0,0,0,,0
2004,57,37,(C) Licensed Project Number 1218.,,,,,0,0,0,0,0,0,0,0,,0
2004,57,38,(D) Approximately 1928. Record of Owners inadeq.,,,,,0,0,0,0,0,0,0,0,,0
2004,57,39,(E) Licensed Project Number 2341.,,,,,0,0,0,0,0,0,0,0,,0
2004,57,40,(F) Licensed Project Number 2350.,,,,,0,0,0,0,0,0,0,0,,0
2004,61,1,HYDRO,,,,,0,0,0,0,0,0,0,0,,0
