Table Name / Data Link,File Name,Pages,Freq,Table Description
`f1_acb_epda <https://data.catalyst.coop/ferc1/f1_acb_epda>`_,F1_2.DBF,336-337,A,Depreciation & Amortization of Electric Plant (Basis for Amortization Charges)
`f1_accumdepr_prvsn <https://data.catalyst.coop/ferc1/f1_accumdepr_prvsn>`_,F1_3.DBF,219,A,Accumulated Provision for Depreciation of Elecric Utility Plant (Account 108)
`f1_accumdfrrdtaxcr <https://data.catalyst.coop/ferc1/f1_accumdfrrdtaxcr>`_,F1_4.DBF,266-267,A,Accumulated Deferred Investment Tax Credits
`f1_adit_190_detail <https://data.catalyst.coop/ferc1/f1_adit_190_detail>`_,F1_5.DBF,234-234a,A,Accumulated Deferred Income Taxes (Individual Schedule Lines)
`f1_adit_190_notes <https://data.catalyst.coop/ferc1/f1_adit_190_notes>`_,F1_6.DBF,234-234b,A,Accumulated Deferred Income Taxes (Notes)
`f1_adit_amrt_prop <https://data.catalyst.coop/ferc1/f1_adit_amrt_prop>`_,F1_7.DBF,272-273,A,Accumulated Deferred Income Taxes - Accelerated Amortization Property
`f1_adit_other <https://data.catalyst.coop/ferc1/f1_adit_other>`_,F1_8.DBF,276-277,A,Accumulated Deferred Income Taxes - Other
`f1_adit_other_prop <https://data.catalyst.coop/ferc1/f1_adit_other_prop>`_,F1_9.DBF,274-275,A,Accumulated Deferred Income Taxes - Other Property
`f1_allowances <https://data.catalyst.coop/ferc1/f1_allowances>`_,F1_10.DBF,228-229,A,Allowances
`f1_allowances_nox <https://data.catalyst.coop/ferc1/f1_allowances_nox>`_,F1_ALLOWANCES_NOX.DBF,230-230a,A,
`f1_audit_log <https://data.catalyst.coop/ferc1/f1_audit_log>`_,F1_78.DBF,,,
`f1_bal_sheet_cr <https://data.catalyst.coop/ferc1/f1_bal_sheet_cr>`_,F1_11.DBF,112-113,A/Q,Comparative Balance Sheet (Liabilities & Other Credits)
