table_name,partition,row_count
out_eia923__boiler_fuel,2021-02-01,8901
out_eia923__boiler_fuel,2021-03-01,8901
out_eia923__boiler_fuel,2021-04-01,8901
out_eia923__boiler_fuel,2021-05-01,8901
out_eia923__boiler_fuel,2021-06-01,8901
out_eia923__boiler_fuel,2021-07-01,8901
out_eia923__boiler_fuel,2021-08-01,8901
out_eia923__boiler_fuel,2021-09-01,8901
out_eia923__boiler_fuel,2021-10-01,8901
out_eia923__boiler_fuel,2021-11-01,8901
out_eia923__boiler_fuel,2021-12-01,8901
out_eia923__boiler_fuel,2022-01-01,8625
out_eia923__boiler_fuel,2022-02-01,8625
out_eia923__boiler_fuel,2022-03-01,8625
out_eia923__boiler_fuel,2022-04-01,8625
out_eia923__boiler_fuel,2022-05-01,8625
out_eia923__boiler_fuel,2022-06-01,8625
out_eia923__boiler_fuel,2022-07-01,8625
out_eia923__boiler_fuel,2022-08-01,8625
out_eia923__boiler_fuel,2022-09-01,8625
out_eia923__boiler_fuel,2022-10-01,8625
out_eia923__boiler_fuel,2022-11-01,8625
out_eia923__boiler_fuel,2022-12-01,8625
out_eia923__boiler_fuel,2023-01-01,8505
out_eia923__boiler_fuel,2023-02-01,8505
out_eia923__boiler_fuel,2023-03-01,8505
out_eia923__boiler_fuel,2023-04-01,8505
out_eia923__boiler_fuel,2023-05-01,8505
out_eia923__boiler_fuel,2023-06-01,8505
out_eia923__boiler_fuel,2023-07-01,8505
out_eia923__boiler_fuel,2023-08-01,8505
out_eia923__boiler_fuel,2023-09-01,8505
out_eia923__boiler_fuel,2023-10-01,8505
out_eia923__boiler_fuel,2023-11-01,8505
out_eia923__boiler_fuel,2023-12-01,8505
out_eia923__boiler_fuel,2024-01-01,6256
out_eia923__boiler_fuel,2024-02-01,6254
out_eia923__boiler_fuel,2024-03-01,6250
out_eia923__boiler_fuel,2024-04-01,6252
out_eia923__boiler_fuel,2024-05-01,6252
out_eia923__boiler_fuel,2024-06-01,6254
out_eia923__boiler_fuel,2024-07-01,6255
out_eia923__boiler_fuel,2024-08-01,6256
out_eia923__boiler_fuel,2024-09-01,6250
out_eia923__boiler_fuel,2024-10-01,6250
out_eia923__boiler_fuel,2024-11-01,6250
out_eia923__boiler_fuel,2024-12-01,6250
