year_index,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
price_responsive_programs,-1,-1,-1,-1,-1,-1,-1,-1,57,57,57,91,91,-1,-1,-1,-1,-1,-1,-1
residential_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,58,58,58,92,92,86,-1,-1,-1,-1,-1,-1
commercial_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,59,59,59,93,93,87,-1,-1,-1,-1,-1,-1
industrial_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,60,60,60,94,94,88,-1,-1,-1,-1,-1,-1
transportation_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,95,89,-1,-1,-1,-1,-1,-1
other_price_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,61,61,61,-1,-1,-1,-1,-1,-1,-1,-1,-1
time_responsive_programs,-1,-1,-1,-1,-1,-1,-1,-1,62,62,62,96,96,-1,-1,-1,-1,-1,-1,-1
residential_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,63,63,63,97,97,90,-1,-1,-1,-1,-1,-1
commercial_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,64,64,64,98,98,91,-1,-1,-1,-1,-1,-1
industrial_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,65,65,65,99,99,92,-1,-1,-1,-1,-1,-1
transportation_time_responsiveness_customers,-1,-1,-1,-1,-1,-1,-1,-1,66,66,66,100,100,93,-1,-1,-1,-1,-1,-1
data_status,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,101,101,-1,-1,-1,-1,-1,-1,-1
residential_annual_energy_efficiency_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,56,56,-1,-1,-1,-1,-1,-1
commercial_annual_energy_efficiency_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,57,-1,-1,-1,-1,-1,-1
industrial_annual_energy_efficiency_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,58,58,-1,-1,-1,-1,-1,-1
transportation_annual_energy_efficiency_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,59,59,-1,-1,-1,-1,-1,-1
residential_annual_load_management_cost ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,61,66,-1,-1,-1,-1,-1,-1
commercial_annual_load_management_cost ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,62,67,-1,-1,-1,-1,-1,-1
industrial_annual_load_management_cost ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,63,68,-1,-1,-1,-1,-1,-1
transportation_annual_load_management_cost ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,64,69,-1,-1,-1,-1,-1,-1
residential_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,66,61,-1,-1,-1,-1,-1,-1
commercial_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,67,62,-1,-1,-1,-1,-1,-1
industrial_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,68,63,-1,-1,-1,-1,-1,-1
transportation_energy_efficiency_annual_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,69,64,-1,-1,-1,-1,-1,-1
residential_load_management_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,71,71,-1,-1,-1,-1,-1,-1
commercial_load_management_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,72,72,-1,-1,-1,-1,-1,-1
industrial_load_management_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,73,73,-1,-1,-1,-1,-1,-1
transportation_load_management_incentive_payment,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,74,74,-1,-1,-1,-1,-1,-1
residential_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,76,76,-1,-1,-1,-1,-1,-1
commercial_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,77,77,-1,-1,-1,-1,-1,-1
industrial_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,78,78,-1,-1,-1,-1,-1,-1
transportation_indirect_program_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,79,79,-1,-1,-1,-1,-1,-1
residential_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,81,81,-1,-1,-1,-1,-1,-1
commercial_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,82,82,-1,-1,-1,-1,-1,-1
industrial_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,83,-1,-1,-1,-1,-1,-1
transportation_total_cost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,84,84,-1,-1,-1,-1,-1,-1
ownership_type,48,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ECAR,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ERCOT,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FRCC,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
